Date,Author,Body,Heading,Rating,Location
2021-02-15,cycleintheuk,Most beautiful ice bucket!  I love it!!!!,Most beautiful ice bucket,5,GB
2021-02-15,cassie,"I purchased the Alicia Murano pink Tumblers. WOW!!!! They are exquisite! Probably could do without the scratchy hand etched initials on the bottom as it looks scruffy and unintentional however the glasses themselves are stunning. Absolutely stunning. 

Funnily, I though it was £40 for a set of 4 so I purchased 2 (sets) thinking 8 would arrive but only 2 tumblers arrived and I then realized the price was for only 1 tumbler and I had to explain to my husband that I had just paid £65 per glass (inc shipping) !!! Hahah I am a Wally! But seriously I was so impressed with the quality and how gorgeous they are that I am fully committed to doubling down and purchasing the other 6 hahah!",Pink Alicia Murano Tumblers,5,AU
2021-02-11,Charlie,"Obsessed with my new purchases! 
Very high quality - can’t wait to show them off once lockdown ends.
Big thank you to Rebecca for being so good with communication about the order too.",Obsessed with my new purchases,5,GB
2021-02-10,Susan,Fantastic personalised service. I can recommend Rebecca Udall highly enough.,Fantastic personalised service,5,GB
2021-02-01,Karmen,"Brilliant, beautiful and good value!",Brilliant,5,GB
2021-02-01,Emma Glass,I have bought a few bits now and everything is always of the highest quality and incredibly beautiful. Despatch is always quick too.,I have bought a few bits now and…,5,GB
2021-01-27,Fiona Chesterman,Rebecca has a well curated selection of quality products. All are carefully wrapped and well presented. Definitely recommended.,Rebecca has a well curated selection of…,5,GB
2021-01-22,Hanna White,Very impressed! Lovely products and received my items within two days.,Very impressed,5,GB
2021-01-22,Mrs Farrell,"The table runners are beautiful, lovely  quality.",The table runners are beautiful,5,GB
2021-01-21,Rose Narimani,Quick delivery and pretty napkins 💕,Quick delivery and pretty napkins 💕,5,GB
2021-01-18,KWH,Excellent quality glasses and linens along with exceptional service at every step.,Excellent quality glasses and linens…,5,US
2021-01-18,Marie Jones,Wonderful service. Lovely Christmas glasses.,Fab.,5,GB
2021-01-12,Monica K,I have bought numerous items from Rebecca over the last 1.5 years and everything has been beautiful.  The quality of each item is excellent and well worth the money.  Rebecca is an absolute pleasure to deal with - five star customer service.,Beautiful products and five star customer service,5,GB
2021-01-11,Rhys Jones,Fantastic service. Beautiful products. Really pleased. Diolch!,Fantastic service,5,GB
2021-01-11,Louise Grist,Love our new glasses. Treat for a January in purdah. All beautifully packed with efficient service thank you,Love our new glasses,5,GB
2020-12-16,Consumer,"Absolutely loved the items purchased, they are even better in the flesh.  Excellent service, will be ordering more for sure. Thank you Rebecca",Absolutely loved the items purchased,5,GB
2020-12-15,RT,I ordered some beautiful candles as gifts for friends. They’re even nicer than I expected and Rebecca was brilliant about keeping me updated on when they’d arrive.,Beautiful homeware and customer service,5,GB
2020-12-09,Frederica Tompkins,"Lovely products, great price and wonderful service! I will definitely be purchasing again. Thank you!",Big Fan,5,GB
2020-12-09,Rosie,"Thrilled with my napkins, thank you!",Thrilled with my napkins,5,GB
2020-12-06,Eileen Story,"Amazing service, as always, beautiful packaging coupled with wonderful products - what’s not to love?",Amazing service,5,GB
2020-12-04,Cristina Iracheta,It is always a pleasure to buy from Rebecca she has beautiful things and she is a very nice and sweet person.,It is always a pleasure to buy from…,5,ES
2020-12-03,Siobha Summers,"Beautiful items, arrived quickly, perfect gifts <3",Beautiful items,5,GB
2020-12-03,Mrs Pilkington,Bought the Twisted Shiny Candles and they are divine ... ❕❕❕,Bought the Twisted Shiny Candles and…,5,GB
2020-12-03,Claire,"Saw these on website, had seen similar ones at Oka a while ago; they sold out quickly but signed up for a restock notification and Rebecca was really good at answering questions and keeping me informed. Really delighted with them, great quality and will be really useul for formal and informal dining",Lovely charger plates and great service,5,GB
2020-12-02,Mona,"Excellent service, beautiful service",Excellent service,5,NO
2020-11-19,G Elliott,"Excellent products, beautifully wrapped with personal service (hand written note inside) I am very happy, thank you.
Gloria",Excellent products,5,GB
2020-11-18,Irene Whittle,"I was so thrilled to receive my order of bamboo and tortoiseshell cutlery, it’s so gorgeous I can’t wait to have a chance to invite visitors and I’m planning lovely table settings.   
I was really impressed with the personal service from Rebecca, a delightful experience and I would thoroughly recommend.
Looking forward to adding to my collection",I was so thrilled to receive my order…,5,GB
2020-11-17,BMJ,"Thank you for your incredible customer service from ordering to delivery.
I was amazed at how quickly my gift of linen placemats arrived. Bravo to the Rebecca Udall team that made this happen. I will be doing more shopping with you soon.",Incredible service from start to finish!,5,US
2020-11-16,Emma,"Very fast delivery.  All items were beautifully, carefully packaged.  Brilliant for gifts - I was straight back for more!",Very fast delivery,5,GB
2020-11-15,Laura Hammett,"I just received my delivery of placemats, napkins, glasses and candlesticks and they were absolutely stunning in every way. From the packaging to the products themselves. I can't wait to add to my collection",Stunning,5,GB
2020-11-11,Natasha Excell,Beautiful quality linens,Beautiful quality linens,5,GB
2020-11-09,A McCormick,"Lovely candles, looking forward to lighting them! Received in good time with a lovely handwritten note. Would recommend and will order again",Lovely candles,5,IE
2020-11-07,Francesca Briggs Reeve ,"Lovely, classic items. In love with their gingham table cloths!
Beautifully presented and speedy delivery.",5 stars!,5,GB
2020-10-28,Nichola Ryter,Quick delivery! Gorgeous packaging! NEVER DISAPPOINTED,Perfect,5,CH
2020-10-26,Nicola ,"I recently purchased the Ester&Erik Cone Candles and the lacquer swirl taper candles.  They arrived in perfect condition, the packaging is excellent. I first came across Rebecca Udall candles last year whilst looking for non drip candles, and can confirm that the candles burn down evenly and there are no drips of wax. These candles look gorgeous in glass holders and I would highly recommend them.",I recently purchased the Ester&Erik…,5,GB
2020-10-14,Anest Wales,"Our bed linen is fantastic quality, the first batch arrived super quickly, and it was wrapped beautifully, we had to wait a bit longer for a sheet being made in Italy but I am not complaining, it’s great that it was made to order. Rebecca answered emails super quickly and the parcels arrived with a lovely note. Thank you very much. I would definitely recommend Rebecca Udall.",Our bed linen is fantastic quality,5,GB
2020-10-14,Sinead Kerr,"Beautiful table mats which came very nicely presented. Took some time to arrive because of co-vid, but the communication was good in letting me know why it was going to be late.",Beautiful table mats which came very…,5,US
2020-10-14,Maria Curry,Beautiful placemats! Will order more.,Beautiful placemats,5,US
2020-10-12,A.S.,Have just received my order for the most beautiful bed linen. Top quality !!!  So much better than any bedlinen that I have bought elsewhere.,Top quality bed linen !,5,GB
2020-10-12,Katherine Waddington,"My order arrived on time, perfectly packed and contained a personal note from Rebecca, absolutely fantastic would recommend the website/company to anyone.",My order arrived on time,5,GB
2020-10-08,A S,"Five star service, great communication, speedy delivery and a beautiful quality product!",Five star service,5,GB
2020-10-08,andrew brace,"Rebecca was very helpful and knowledgeable about her product.
Her product is of supreme quality and we are really pleased with our purchase.
Thank-you Rebecca for the personnel service you gave us.
Andrew and Janice",Rebecca was very helpful and…,5,GB
2020-10-06,Kat Girnus,"Gorgeous, better than pictured. Quick to arrive, loved the personal touches in its packaging.",Gorgeous,5,US
2020-09-28,Sophie,Great quality and lovely service,Great quality and lovely service,5,GB
2020-09-24,Kathryn flood,"Love my tealight holders, thank you.
Quick delivery and packaged well.",Stunning!,5,GB
2020-09-18,Mrs L M Williams,"Beautiful products and outstanding personal customer service. Rebecca really went out of her way to help me find the last discontinued products, shipping them to me free of charge , in time for my daughter's birthday .  I will continue to recommend her company to all my friends.",Beautiful products and outstanding…,5,GB
2020-09-17,Renata Bruemmer,Amazing client service!!,Amazing client service!!,5,DE
2020-09-14,Esther ,"Rebecca is very approachable, knowledgeable and offers a fantastic customer service.I highly recommend her!",Excellent customer service,5,GB
2020-09-08,Sarah Pelham,"Very good service
Lovely product
Expensive for me out of the sale 
I work for the NHS!! Small budget!!",Very good service,5,GB
2020-09-08,ES,"Great service - the glasses I ordered arrived very quickly, Rebecca was extremely helpful and the glasses looked even better than I had imagined.",Great service - definitely recommend,5,GB
2020-09-03,Customer Vicky ,"Beautiful product, wrapping and speedy delivery. Thank you 😊",Beautiful product,5,GB
2020-09-03,Mrs Hilary Knight,Quick efficient and the goods arrived beautifully packaged.,Quick efficient and the goods arrived…,5,GB
2020-09-03,Mrs Shopping,Good service and quick responses,Good service and quick responses,5,GB
2020-09-02,Beth,"I was referred to Rebecca Udall from Seraphina,whose clothes I love and the fabric and quality are impeccable. Everything I own from Rebecca Udall is a joy and I am delighted with my purchases.",Beautiful Luxury,5,GB
2020-09-01,Martin  Walsh,Customer service very good.  Delivery prompt.  Good ordered of very good quality.  Very pleased.,Customer service very good,5,GB
2020-09-01,fiona bowring,Fab candles so delighted,Fab candles so delighted,5,GB
2020-08-28,Alison,"What a super web site, coupled with the knowledge and understanding of a professional owner, it’s a true winner for me.",What a super web site stuffed full with gorgeous things for the home.,5,GB
2020-08-28,ann sanger,"The most beautiful collection of homeware, such great attention to details and quality. Can't wait to receive the bed linen I have just ordered.",The most beautiful collection of…,5,GB
2020-08-26,Carmen Regan,"I rarely shop online but love Rebecca’s stuff so much. Was very happy with products (candles, tableware) and would recommend for self or gifts. Delivery was well tracked and communication excellent.",Love these products,5,IE
2020-08-26,Anna E,Love the products and personal service.,Love the products and personal service.,5,GB
2020-08-26,Mrs S,Wonderful website with a wide array of homewares and beautiful gift ideas.,Beautiful Homewares,5,GB
2020-08-25,Victoria Goldaracena,I bought some beautiful linen napkins from Rebecca and they are so pretty i now will HAVE to order the table cloth! Love it love it. great quality! Beautiful colours!,I bought some beautiful linen napkins…,5,GB
2020-08-18,Ann Keighley,"Thank you very much for my blush pink Irish linen napkins which arrived
beautifully packaged. Great colour and excellent quality. They are just 
what I wanted. First class service and I would have no hesitation in recommending Rebecca Udall’s products.",Beautiful napkins,5,GB
2020-08-17,Vanessa,Excellent customer service and the napkins were just beautiful.,Excellent customer service and the…,5,US
2020-08-17,Karen B,"I ordered the waxed linen placemats and coasters in denim.
When they arrived they were beautifully packaged.
They are superb quality and I am so looking forward to using them.

I would definitely recommend these placemats and coasters if you want a pretty tablescape.",Wonderful,5,GB
2020-08-10,Carolyn Bender,Beautiful merchandise.  Delivered so fast and  packaging is just gorgeous!  Great quality.,Beautiful merchandise,5,US
2020-08-06,Alison Walter,I have bought some beautiful glasses and a pitcher from Rebecca,I have bought some beautiful glasses from Rebecca Udall. I was so impressed with the extremely personalised service and the wonderful packaging.,5,GB
2020-08-03,Anne O,"Beautiful linens, so pleased with my purchase",Beautiful linens,5,GB
2020-07-27,Sohni Dipak  Tanna,Your beautiful linen not only enhanced my table scapes but also brings life to all my dinner settings! Please take a look @sohnistyle (Instagram) as you will see for yourself how beautifully coordinated your mat and napkin sets are with my floral table cloth.,Your beautiful linen not only enhanced…,5,GB
2020-07-22,Joy Moss,Wonderful products - well made and great service with an easy online site.,Wonderful products,5,GB
2020-07-22,Christina  Christou,I ordered a dozen natural rattan chargers. Beautiful quality and quick international shipping.,Wonderful online customer experience!,5,CA
2020-07-22,Lynnette ,Excellent quality and service,Excellent,5,GB
2020-07-22,Hania Djandji,Wonderful service. I am very happy with my purchase. Thank you very much for your.,Wonderful service,5,MC
2020-07-18,Mrs A,"I have been waiting for these rattan charger plates to come back into stock patiently and oh my goodness, it was worth it. They are beautifully white washed, stable (had to return some previous ones to a different supplier for that exact reason as his were wonky and warped) and complete my table setting, no matter what occasion. Delivery was very prompt too. All in all, excellent",I have been waiting for these rattan…,5,GB
2020-07-17,Elizabeth Ganly,Helpful and prompt service from Rebecca. The chargers I bought are lovely quality and good value.,Helpful and prompt service from…,5,IE
2020-07-17,Catherine Campion,I love them They are beautiful & great quality.  Customer service is excellent also.,Love them,5,IE
2020-07-15,Louise Davis,Wonderful products and service. Highly recommended.,Superb,5,GB
2020-07-15,KL,Ice bucket was dispatched within a couple of hours of ordering and arrived well packaged and in perfect condition. Thank you!,Great service!,5,GB
2020-07-15,EmBins,Amazing products and faultless customer service!,Amazing products and faultless customer…,5,GB
2020-07-14,Jacqui Strevens,"Absolutely love my rattan ice bucket. 
Great service too.",Absolutely love my rattan ice bucket,5,GB
2020-07-14,Mrs Maggie Kelynack,Great design and quality and speedy service. Very pleased,Great design and quality and speedy…,5,HK
2020-07-14,KLC,"Beautiful product, arrived in a timely manner and very well packaged ensuring the glassware's safe arrival. Thoroughly pleased with the beautiful glasses - they were sold as 'seconds' but the faults are very minor. Can't wait to show them off!",Beautiful product,5,GB
2020-07-14,Louise ,I absolutely love Rebecca Udall! Everything from the customer service to the products is absolutely fantastic! Cannot wait to use our new rattan chargers and already eyeing up more lovely table linens.,Highly Reccomend!,5,GB
2020-07-13,Rachel Lowry,Always brilliant products and swift service,Always brilliant products and swift…,5,GB
2020-07-13,Nat Clo,Lovely items and quick delivery. Responded promptly to all questions and was overly helpful.,Lovely items and quick delivery,5,GB
2020-07-09,Jody Martini,Thank you for all your help. I love the product and I received great customer service. A slight glitch was resolved immediately . I would definitely purchase from Rebecca again.,Everything was great.,5,US
2020-07-08,Kim Chambers,"Fab bud vases, well packaged and will definitely buy again",Fab bud vases,5,GB
2020-07-08,Johanna,Nice website. Ordered online and the products came quickly and were well packaged.,Nice website,5,GB
2020-07-06,immyp,"Lovely site, fabulous, affordable items, swift delivery and a happy customer!",What's not to like!,5,GB
2020-07-03,Penny Peters,"Ordered some linen napkins and placemats . Very happy with them and will
Definitely be ordering sgein. Also excellent communication! Thank you so much '",Very impressed,5,GB
2020-07-03,Claire Armstrong,Beautiful product and amazing customer service! So kind and helpful.,Beautiful product and amazing service,5,GB
2020-06-26,Richard,Fast delivery,Fast delivery,5,GB
2020-06-25,Amanda Carpenter,The quality of the placemats is excellent and the order processing and shipment was extremely fast!,The quality of the placemats is…,5,US
2020-06-24,Ruth Mattingly,"I’ve had excellent service from Rebecca. As this is my first order I requested fabric samples and they arrived in two days, and the quality is excellent.My order will be four to six weeks for delivery, so until it arrives I’m not able to comment on the finished sheet at this time.",Fabric is lovely,5,GB
2020-06-21,Lavinia Byers,So happy with my lovely gingham check tablecloth. Great quality.,So happy with my lovely gingham check…,5,GB
2020-06-19,Natasha,Always perfect 👌🏻,Always perfect 👌🏻,5,GB
2020-06-16,Jennifer Bakker,"Gorgeous items, ship very quickly. Thrilled!",Rebecca Udall,5,US
2020-06-15,Robin L Primm,"Excellent customer service, and the products exceeded my expectations!",A Great Company,5,US
2020-06-12,LMF,"Efficient, personal, fantastic service. Beautiful products too!",Great experience,5,US
2020-06-11,Wendy Casson,"This was well packed and quickly delivered. The product was as advertised although I think a little taller would have been great!
I am very pleased with them.",Great first Order.,5,GB
2020-06-10,F Muller,Gorgeous glassware!,Gorgeous glassware!,5,GB
2020-06-05,Femke ,Beautiful products and excellent service,Beautiful products and excellent service,5,NL
2020-06-05,Heloise O Hagan ,"Fabulous service from Rebecca Udall as always & super-cool, high-quality products. Thank you.",Fabulous service from Rebecca Udall as…,5,GB
2020-06-04,Aimee Humphries,Gorgeous products and amazing customer service. Always quick to respond to emails. Would highly recommend!,Gorgeous products and amazing customer…,5,GB
2020-06-04,Kathryn,"Everything I ordered is beyond fabulous - the communication, packaging, shipment overseas and follow-up - perfect.  xx",Everything I ordered is beyond fabulous…,5,US
2020-06-04,Marta,"Beautiful products, great quality and super service.",Beautiful products,5,IT
2020-06-03,Peggy,Very quick delivery of beautiful cutlery,Excellent service,5,DE
2020-06-02,samantha,Great prompt service. Beautiful quality linen .,Great prompt service,5,GB
2020-06-02,Sarah,Beautiful jug. Bigger than I was expecting it to be but none the worse for that,Beautiful jug,5,GB
2020-06-02,MN,Great quality and beautiful,Happy with PUrchase,5,US
2020-06-02,Jo Cheeseman,"Super first class service. Rebecca is so helpful, replies to queries and goes out of her way - very unusual these days. I can’t wait for my purchases to arrive!",Super first class service,5,GB
2020-05-31,Helen ,I was very impressed and will definitely shop here again,I was very impressed and will…,5,GB
2020-05-28,Kate Nicoll,Beautiful product and bigger than I was expecting which was a nice surprise. Thanks,Beautiful Jug,5,GB
2020-05-26,neal sussman,Beautiful products and fantastic service,Beautiful products and fantastic service,5,GB
2020-05-25,Mrs sasha de Gale,"Love all her products. 
Great quality and great service.",Love all her products,5,GB
2020-05-25,Julia Norregaard,"unsurpassed customer care, prompt delivery, gorgeous product.  can't wait to place another order",unsurpassed customer care,5,US
2020-05-20,Georgie Fry,Lovely stuff - beautifully wrapped - easy to order!,Lovely stuff,5,MF
2020-05-17,Sasha de Gale,"I recieved my stunning white rattan chargers, liked them so much I ordered more and some stunning linen napkins.. just niw have to decide what to order next to add to my collection.. so well made.. these are things you keep forever! 💙 excellent customer service and quick delivery.. thankyou.",Very special quality products,5,GB
2020-05-15,Jo,Beautiful candles arrived very well packaged and presented. Would recommend thank you.,Perfect,5,GB
2020-05-12,Tc23,Wonderful products and very efficient delivery!,Wonderful products and very efficient…,5,GB
2020-05-11,Stephanie Erdtmann,very pleasant experience! Thank you very much for the beautiful tablelinen. I am very excited to decorate my new table . The service was very friendly and fast and it was nicely wrapped.,very pleasant experience,5,DE
2020-05-04,Siobhan West London,"Wonderful customer service and the plate chargers were fab, really good quality.",Great quality products with fab customer service,5,GB
2020-04-23,Ellie Barlow,"The products are excellent and simply beautiful, the communication and the timeliness of arrival was brilliant. I now check almost daily for new products!",simply beautiful,5,GB
2020-04-23,Victoria BR,I received a fantastic service from Rebecca. She responded very quickly to my questions and kept me well informed. I was thrilled with what I had ordered! It couldn’t have had a more positive experience!,Couldn’t recommend more highly...,5,GB
2020-04-23,Country Mummy,Simply the best customer service. Thank you!,Simply the best customer service,5,GB
2020-04-21,Kate Woodcock,Beautiful and unusual pieces of superb quality. Highly recommend.,Beautiful and unusual pieces of superb…,5,GB
2020-04-17,EMANUELA GIOACCHINI,"This is my second time i buy your items
Everyting perfect",This is my second time i buy your items,5,GB
2020-04-15,Eva Widmaier,Wonderful Products great Service!,Wonderful Products great Service!,5,DE
2020-04-10,Caroline,Lovely plates thanks,Lovely plates thanks,5,GB
2020-04-07,AB,Delivery and service were extremely prompt. The product is top notch. I couldn’t believe how quickly I got my things even with the pandemic. Thanks so much!,Delivery and service were extremely…,5,US
2020-03-31,Harriet Cosgrove,"Excellent service, beautiful packaging. Also, thank you for my little note and extra surprise, I love them!",Excellent service,5,GB
2020-03-28,MFTC,"Thorough communication, quick turnaround & shipping, stylish and easy-to-navigate website with excellent taste. A handwritten note accompanying my order.

This is a very boutique and nice webshop, easily recommended.",Good Taste and Good Service,5,US
2020-03-23,Lucy ,Beautiful quality.  Best customer service.,Beautiful quality,5,GB
2020-03-18,Emma Farah,Excellent service and STUNNING products!,Excellent service and STUNNING products!,5,GB
2020-03-17,Chloe,"Rebecca Udall has the most beautiful selection available and there is something for everyone! You know you’re buying luxury products for very reasonable prices. I bought my mum some beautiful linen napkins for Mother’s Day and they came in the most gorgeous box and I also got myself some rattan placemats that are stunning. I can’t wait to place my next order! Thank you, Rebecca Udall!",Amazing - very happy customer!,5,GB
2020-03-17,Leslie H ,"Always a pleasure to order table linens from Rebecca Udall. The quality, style and range of colours is superb. It also arrives packaged beautifully which makes it easy to give as a gift to a friend or to yourself!",Another Great Purchase,5,GB
2020-02-27,Pat Johnston,Rebecca is a genuine expert on bedlinen and all related items. I bought a wonderful wool blanket at an excellent price and it arrived very swiftly. I will definitely buy from her again.,Wonderful Service,5,GB
2020-02-20,gemma maddison,Rebecca udall offers high end luxury for less. Whilst providing her customers with 5* customer service. Would definitely recommend.,Rebecca udall offers high end luxury…,5,GB
2020-02-13,Sarah Richardson,"Beautiful throw, delivered really quickly and lovely packaging. Can’t recommend highly enough, thank you!",Gorgeous things!,5,GB
2020-02-13,Jacs Cottrell,"Fabulous candles, thanks they made a real statement on my dining room table!",Fabulous candles,5,GB
2020-02-13,Ated,Rebecca accommodated my very urgent delivery request and has been great throughout. The products are top quality and her service second to none.,Great company and customer service,5,GB
