"Referrer source","Referrer name","Day","Landing page URL","Session device type","Online store visitors","Sessions"
"social","instagram","2022-10-09","https://www.hensandhollyhocks.com/","tablet",1,1
"social","facebook","2022-10-09","https://www.hensandhollyhocks.com/?fbclid=IwAR2WmUbfyK3KKSsJGMRO0rRZYpTPrgvHAC9xLAHJnRu18UIFPBUj488SV0I","desktop",1,1
"direct",,"2022-10-09","https://www.hensandhollyhocks.com/","tablet",1,1
"social","instagram","2022-10-09","https://www.hensandhollyhocks.com/","mobile",19,19
"social","facebook","2022-10-09","https://www.hensandhollyhocks.com/?fbclid=IwAR2zN6dA2gISecXXc8SBmyEgnFBr1L70EMLYwoqk4x-EH4YE98RYwQG2tvc","desktop",1,1
"social","instagram","2022-10-09","https://www.hensandhollyhocks.com/?fbclid=PAAaaVM_VC-Le8cBNfeEQB2_h-FV89OGYY5u3rHRO93Ty_yHI9i2-Z390ebBI","mobile",1,1
"direct",,"2022-10-09","https://www.hensandhollyhocks.com/collections/tablecloths","mobile",1,1
"search","google","2022-10-10","https://www.hensandhollyhocks.com/","desktop",3,3
"direct",,"2022-10-10","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"direct",,"2022-10-10","https://www.hensandhollyhocks.com/collections/all?sort_by=best-selling","desktop",1,1
"search","google","2022-10-10","https://www.hensandhollyhocks.com/collections/crockery","mobile",1,1
"unknown",,"2022-10-10","https://www.hensandhollyhocks.com/products/set-of-four-oiseaux-de-paradis-luncheon-plates","mobile",1,1
"direct",,"2022-10-10","https://www.hensandhollyhocks.com/collections/tableware?page=4","mobile",1,1
"search","google","2022-10-10","https://www.hensandhollyhocks.com/products/hobnail-glasses-set-of-6","desktop",1,1
"direct",,"2022-10-10","https://www.hensandhollyhocks.com/products/set-of-two-dessert-plates-oriente-italiano-malachite","mobile",1,1
"direct",,"2022-10-10","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",2,2
"direct",,"2022-10-10","https://www.hensandhollyhocks.com/collections/cutlery","mobile",1,2
"social","instagram","2022-10-10","https://www.hensandhollyhocks.com/?fbclid=PAAaYHIzXGGZPeZQgQLkMwP7oIfpinRy9zBasKGJDa7akl2OT4ZaAo34qOLXw","mobile",1,1
"direct",,"2022-10-10","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"social","instagram","2022-10-10","https://www.hensandhollyhocks.com/","mobile",23,23
"search","google","2022-10-10","https://www.hensandhollyhocks.com/collections/napkin-bows","desktop",1,1
"social","instagram","2022-10-10","https://www.hensandhollyhocks.com/","tablet",3,3
"search","google","2022-10-11","https://www.hensandhollyhocks.com/products/poodle-candle-holder","mobile",1,1
"direct",,"2022-10-11","https://www.hensandhollyhocks.com/","desktop",18,18
"direct",,"2022-10-11","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"search","google","2022-10-11","https://www.hensandhollyhocks.com/","desktop",2,2
"direct",,"2022-10-11","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"direct",,"2022-10-11","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"social","instagram","2022-10-11","https://www.hensandhollyhocks.com/","mobile",6,6
"search","google","2022-10-11","https://www.hensandhollyhocks.com/collections/placemats","mobile",1,1
"search","google","2022-10-11","https://www.hensandhollyhocks.com/products/green-scallop-edge-dinner-plate","mobile",1,1
"direct",,"2022-10-12","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"direct",,"2022-10-12","https://www.hensandhollyhocks.com/products/set-of-four-rattan-charger-plates-brown","mobile",1,1
"search","google","2022-10-12","https://www.hensandhollyhocks.com/products/hobnail-glasses-set-of-6","other",1,1
"search","google","2022-10-12","https://www.hensandhollyhocks.com/products/hobnail-glasses-lilac-set-of-6","desktop",1,1
"search","google","2022-10-12","https://www.hensandhollyhocks.com/products/scalloped-edge-rattan-tray","mobile",1,1
"direct",,"2022-10-12","https://www.hensandhollyhocks.com/","desktop",4,4
"direct",,"2022-10-12","https://www.hensandhollyhocks.com/pages/contact-us","desktop",6,6
"direct",,"2022-10-12","https://www.hensandhollyhocks.com/pages/about-us","desktop",7,7
"direct",,"2022-10-12","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"direct",,"2022-10-12","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"social","instagram","2022-10-12","https://www.hensandhollyhocks.com/","mobile",1,1
"search","google","2022-10-12","https://www.hensandhollyhocks.com/","desktop",2,2
"search","google","2022-10-13","https://www.hensandhollyhocks.com/products/set-of-four-oiseaux-de-paradis-dessert-plates","mobile",1,1
"search","google","2022-10-13","https://www.hensandhollyhocks.com/products/scalloped-edge-rattan-tray","desktop",1,1
"social","facebook","2022-10-13","https://www.hensandhollyhocks.com/?fbclid=IwAR0q33nasFNbp5ztkj5wvk4aEIlUZrK9eGB8DgvafKb1RH0f-R8UDvj0moA","desktop",1,1
"search","google","2022-10-13","https://www.hensandhollyhocks.com/collections/hobnail-jugs","other",1,1
"direct",,"2022-10-13","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"direct",,"2022-10-13","https://www.hensandhollyhocks.com/","desktop",8,8
"direct",,"2022-10-13","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"search","google","2022-10-13","https://www.hensandhollyhocks.com/products/scalloped-edge-rattan-tray","mobile",1,1
"direct",,"2022-10-13","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"search","google","2022-10-14","https://www.hensandhollyhocks.com/products/scallop-edge-dinner-plate","mobile",1,1
"search","google","2022-10-14","https://www.hensandhollyhocks.com/collections/glassware","desktop",1,1
"search","google","2022-10-14","https://www.hensandhollyhocks.com/products/white-lace-dinner-plate","mobile",1,1
"direct",,"2022-10-14","https://www.hensandhollyhocks.com/","desktop",1,1
"search","google","2022-10-15","https://www.hensandhollyhocks.com/collections/tablecloths","desktop",1,1
"search","google","2022-10-15","https://www.hensandhollyhocks.com/products/green-scallop-edge-dinner-plate","desktop",1,1
"search","google","2022-10-15","https://www.hensandhollyhocks.com/products/poodle-candle-holder","mobile",1,2
"direct",,"2022-10-15","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"direct",,"2022-10-15","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
